
20.27.177.116  api.github.com #中国台湾
20.200.245.245  api.github.com #韩国CN2
20.205.243.168  api.github.com #中国香港
20.27.177.114  codeload.github.com #日本东京微软云
20.207.73.85  api.github.com #阿联酋迪拜
20.207.73.82  github.com #印度马哈拉施特拉浦那 微软云
20.248.137.48  github.com #澳大利亚新南威尔士悉尼 微软云
20.200.245.246  codeload.github.com #韩国首尔微软云
20.248.137.49  api.github.com #澳洲
185.199.109.153  assets-cdn.github.com #泛播GitHub
140.82.121.5  api.github.com #德国
140.82.121.4  github.com #美国华盛顿西雅图 GitHub
185.199.110.153  assets-cdn.github.com #泛播GitHub
185.199.111.153  assets-cdn.github.com #泛播GitHub
192.30.255.112  github.com #美国 华盛顿 西雅图
20.205.243.165  codeload.github.com #新加坡/microsoft.com
185.199.108.153  assets-cdn.github.com #泛播GitHub
192.30.255.121  codeload.github.com #美国/华盛顿/西雅图
20.207.73.88  codeload.github.com #印度马哈拉施特拉浦那 微软云
20.248.137.55  codeload.github.com #澳大利亚新南威尔士悉尼 微软云
185.199.108.133  raw.githubusercontent.com #泛播GitHub
140.82.112.9  codeload.github.com #美国华盛顿西雅图 GitHub
140.82.112.4  github.com #美国华盛顿西雅图 GitHub
140.82.112.5  api.github.com #新加坡
140.82.121.3  github.com #美国华盛顿西雅图 GitHub
140.82.113.9  codeload.github.com #美国/加利福尼亚/旧金山
140.82.113.5  api.github.com #中国香港
140.82.112.3  github.com #美国华盛顿西雅图 GitHub
140.82.112.6  api.github.com #美国
140.82.112.10  codeload.github.com #美国/加利福尼亚/旧金山
140.82.121.6  api.github.com #荷兰
185.199.109.133  raw.githubusercontent.com #泛播GitHub
192.30.255.113  github.com #美国 华盛顿 西雅图
140.82.113.3  github.com #美国弗吉尼亚阿什本 GitHub
140.82.114.6  api.github.com #美国
140.82.113.6  api.github.com #美国
140.82.113.10  codeload.github.com #美国弗吉尼亚阿什本 GitHub
140.82.121.9  codeload.github.com #美国华盛顿西雅图 GitHub
192.30.255.120  codeload.github.com #美国/华盛顿/西雅图
140.82.121.10  codeload.github.com #美国
140.82.114.5  api.github.com #美国
20.205.243.166  github.com #新加坡微软云
185.199.110.133  raw.githubusercontent.com #泛播GitHub
